upperx,uppery,lowerx,lowery
9344.778882,48.60070849,8926.157011,43.65919324
9260.857045,46.94969718,8849.516627,43.11221575
9177.09976,45.85094275,8772.876243,42.56523826
9107.370586,45.16542109,8689.28351,42.01874072
9037.641412,44.47989944,8591.82722,41.61126728
8926.157011,43.65919324,8508.234487,41.06476974
8849.516627,43.11221575,8424.682893,40.65633642
8772.876243,42.56523826,8327.185465,40.11079877
8689.28351,42.01874072,8215.824477,39.70428522
8591.82722,41.61126728,8104.46349,39.29777168
8508.234487,41.06476974,7993.061364,38.75319392
8424.682893,40.65633642,7867.754542,38.20957605
8327.185465,40.11079877,7756.393555,37.80306251
8215.824477,39.70428522,7658.937264,37.39558908
8104.46349,39.29777168,7547.576277,36.98907553
7993.061364,38.75319392,7408.364758,36.44641755
7867.754542,38.20957605,7310.908468,36.03894412
7756.393555,37.80306251,7199.506342,35.49436636
7658.937264,37.39558908,7074.19952,34.95074849
7547.576277,36.98907553,6969.749743,34.40569078
7408.364758,36.44641755,6865.341104,33.99869729
7310.908468,36.03894412,6753.980117,33.59218375
7199.506342,35.49436636,6621.720946,33.04904582
7074.19952,34.95074849,6517.312307,32.64205234
6969.749743,34.40569078,6433.678437,31.95749057
6865.341104,33.99869729,6350.126843,31.54905725
6753.980117,33.59218375,6280.438807,31.00159982
6621.720946,33.04904582,6210.791909,30.5922066
6517.312307,32.64205234,6134.151526,30.04522912
6433.678437,31.95749057,6057.511142,29.49825163
6350.126843,31.54905725,5987.74083,28.67466575
6280.438807,31.00159982,5917.970518,27.85107988
6210.791909,30.5922066,5848.241344,27.16555822
6134.151526,30.04522912,5708.741858,25.65645069
6057.511142,29.49825163,5778.471032,26.34197235
5987.74083,28.67466575,5652.876243,24.83190493
5917.970518,27.85107988,5604.004114,24.14494344
5848.241344,27.16555822,5541.18615,23.32087761
5708.741858,25.65645069,5471.456976,22.63535596
5778.471032,26.34197235,5415.632499,21.94887441
5652.876243,24.83190493,5359.808022,21.26239287
5604.004114,24.14494344,5297.031196,20.57639127
5541.18615,23.32087761,5241.247857,20.02797395
5471.456976,22.63535596,5185.464518,19.47955662
5415.632499,21.94887441,5129.681179,18.9311393
5359.808022,21.26239287,5066.945492,18.38320192
5297.031196,20.57639127,5004.209805,17.83526454
5241.247857,20.02797395,4920.65821,17.42683122
5185.464518,19.47955662,4857.963661,17.01695806
5129.681179,18.9311393,4795.269112,16.6070849
5066.945492,18.38320192,4725.622215,16.19769169
5004.209805,17.83526454,4662.968804,15.92588276
4920.65821,17.42683122,4593.321906,15.51648954
4857.963661,17.01695806,4523.675009,15.10709633
4795.269112,16.6070849,4467.932808,14.69674323
4725.622215,16.19769169,4398.327048,14.42541424
4662.968804,15.92588276,4314.816592,14.15504514
4593.321906,15.51648954,4231.306136,13.88467604
4523.675009,15.10709633,4133.808708,13.33913838
4467.932808,14.69674323,4022.488858,13.07068906
4398.327048,14.42541424,3938.937264,12.66225574
4314.816592,14.15504514,3855.467947,12.52995086
