upperx,uppery,lowerx,lowery,
2775.402481,10.51559516,2473.475851,9.140674729,259
2740.564793,10.34373011,2438.638163,9.140674729,260
2705.727105,10.22915341,2389.284772,9.083386378,261
2665.083135,10.1145767,2351.543943,9.083386378,262
2624.439166,10,2281.868567,8.911521324,263
2583.795197,9.885423297,2229.612035,8.73965627,264
2554.76379,9.828134946,2177.355503,8.567791216,265
2525.732383,9.713558243,2128.002111,8.33863781,266
2490.894695,9.59898154,2078.64872,8.166772756,267
2456.057007,9.484404838,2026.392188,7.880330999,268
2421.219319,9.369828135,1974.135656,7.651177594,269
2392.187912,9.255251432,1924.782264,7.364735837,270
2281.868567,8.911521324,1875.428873,7.135582432,271
2229.612035,8.73965627,1831.881763,6.849140675,272
2177.355503,8.567791216,1791.237794,6.619987269,273
2128.002111,8.33863781,1747.690684,6.333545512,274
2078.64872,8.166772756,1709.949855,6.047103756,275
2026.392188,7.880330999,1669.305885,5.81795035,276
1974.135656,7.651177594,1631.565057,5.588796945,277
1924.782264,7.364735837,1590.921087,5.302355188,278
1875.428873,7.135582432,1550.277118,5.073201782,279
1831.881763,6.849140675,1512.536289,4.844048377,280
1791.237794,6.619987269,1471.89232,4.55760662,281
1747.690684,6.333545512,1431.24835,4.328453215,282
1709.949855,6.047103756,1390.604381,4.099299809,283
1669.305885,5.81795035,1349.960412,3.870146404,284
1631.565057,5.588796945,1306.413302,3.640992998,285
1590.921087,5.302355188,1259.963051,3.411839593,286
1550.277118,5.073201782,1213.5128,3.239974539,287
1512.536289,4.844048377,1169.96569,3.010821133,288
1471.89232,4.55760662,1120.612299,2.838956079,289
1431.24835,4.328453215,1071.258907,2.667091025,290
1390.604381,4.099299809,1019.002375,2.495225971,291
1349.960412,3.870146404,963.8427026,2.323360917,292
1306.413302,3.640992998,905.7798892,2.094207511,293
1259.963051,3.411839593,850.6202164,1.922342457,294
1213.5128,3.239974539,801.266825,1.807765754,295
1169.96569,3.010821133,746.1071523,1.6359007,296
1120.612299,2.838956079,696.7537609,1.464035646,297
1071.258907,2.667091025,644.4972288,1.292170592,298
1019.002375,2.495225971,589.3375561,1.120305538,299
963.8427026,2.323360917,539.9841647,1.005728835,300
905.7798892,2.094207511,479.0182106,0.891152132,301
850.6202164,1.922342457,420.9553972,0.77657543,302
801.266825,1.807765754,365.7957245,0.719287078,303
746.1071523,1.6359007,307.7329111,0.661998727,304
696.7537609,1.464035646,261.2826603,0.547422024,305
644.4972288,1.292170592,209.0261283,0.490133673,306
589.3375561,1.120305538,168.3821589,0.37555697,307
539.9841647,1.005728835,124.8350488,0.260980267,308
479.0182106,0.891152132,87.09422011,0.203691916,309
365.7957245,0.719287078,58.06281341,0.146403565,311
420.9553972,0.77657543,29.0314067,0.089115213,310
307.7329111,0.661998727,0,0,312
10825,191.4549,,,
10820,187.0942,,,
10815,182.8952,,,
10810,178.8524,,,
10805,174.9604,,,
10800,171.2138,,,
10795,167.6077,,,
261.2826603,0.547422024,,,313
209.0261283,0.490133673,,,314
168.3821589,0.37555697,,,315
124.8350488,0.260980267,,,316
87.09422011,0.203691916,,,317
29.0314067,0.089115213,,,318
58.06281341,0.146403565,,,319
0,0,,,320
