cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
5427,buffer,lm,21.93694496,52.51388321,3,377.5164849,1691.557625,1588.353732,24.04701,mainland,,290.8248069,21875,28761
5428,buffer,lm,40.72796631,120.2543198,1,257.0885423,1046.717968,928.7032232,40.77513,island,8255900,48.33211985,13845,17303
5429,buffer,lm,30.16536903,110.0485992,3,433.0555394,1433.159359,1449.763741,30.16537,mainland,,1317.799821,75951,82872
5430,buffer,lm,35.30906677,206.2604942,4,47.25874579,103.3909214,590.0438139,35.86757,island,48300,30705.72401,214644,479422
5431,buffer,lm,33.16879654,125.2696056,1,911.1280863,1303.658097,1349.06383,33.1688,mainland,,154.8487001,16390,16754
5432,buffer,lm,40.72844696,274.8081436,4,321.0017302,813.6538452,815.3206401,41.96959,island,5200,524.3729106,101526,273309
5433,buffer,lm,22.92077065,40.99074516,5,348.9494246,1478.126303,1567.304317,24.41338,mainland,,824.5947178,83572,123089
5434,buffer,lm,44.84793472,50.72842693,1,297.7040998,510.88245,576.0520232,44.84793,island,7668500,329.5124257,8589,8589
5435,buffer,lm,44.02626801,25.14489722,3,484.0173971,661.4821929,659.5731325,44.02627,mainland,,32.75090074,44,44
5436,buffer,lm,31.05005646,67.98678303,1,90.89914881,1321.499511,1393.019714,31.36493,mainland,,218.5286846,13213,13213
5437,buffer,lm,25.74720192,182.7555542,2,70.99766248,213.2853716,279.3514179,25.7472,mainland,,19355.71625,81325,81833
5438,buffer,lm,31.54122162,326.6439026,2,334.6950133,1382.563564,1408.51559,32.32372,island,841000,80.97431784,1692,1692
5439,buffer,lm,44.07348251,169.7181664,3,484.5949516,670.2025287,621.0506661,44.08819,mainland,,57.14379377,5147,5147
5440,buffer,lm,26.78210831,91.06276836,4,115.8448619,1132.365018,1393.380187,28.13161,mainland,,1262.169055,167166,226247
5441,buffer,lm,31.3231144,229.6268349,2,15.65171194,413.5444932,500.9932651,31.32311,mainland,,9987.483072,28440,74056
5442,buffer,lm,26.34949875,255.512291,4,190.8243749,251.0903461,247.1867186,28.41138,island,23200,6718.532289,34017,119385
5443,buffer,lm,28.72499847,269.479866,4,189.2421294,185.1426618,202.3555126,30.81771,island,18800,267.6560775,16842,73215
5444,buffer,lm,27.83336639,114.7526264,2,2.828427125,224.0990378,199.2005227,27.90319,mainland,,16778.27312,98910,351079
5445,buffer,lm,25.77202988,105.2188377,2,64.13431219,1221.139583,1323.708279,25.83682,mainland,,3028.51175,109327,251861
5446,buffer,lm,40.60195923,179.502834,1,36.28385464,1039.491385,969.7548481,40.61101,island,8255900,93.53719509,17544,17544
5447,buffer,lm,32.87567902,129.1510849,4,188.0034686,1307.929011,1358.807829,32.87568,island,841000,19.76346981,42,42
5448,buffer,lm,24.88645744,146.430336,2,157.7071684,207.9235363,312.6863451,26.32096,mainland,,10133.79975,99459,220759
5449,buffer,lm,40.08913422,127.1589556,2,337.1917889,1035.480006,1063.090923,40.40549,island,343700,796.0057059,80191,211086
5450,buffer,lm,25.46765327,20.2369854,5,147.5898778,690.879594,1570.075018,26.6659,mainland,,1016.569309,122263,170903
5451,buffer,lm,22.89511681,122.1005268,3,412.9526141,1532.610551,1632.890579,25.28615,mainland,,207.4873631,16919,16958
5452,buffer,lm,35.31849289,59.14710617,3,751.1041076,1174.97268,1173.142426,35.31849,mainland,,673.23118,102829,169666
