cat,askeladden_id,municipality,quality,elev_minimum,phase,slope_average,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,site_size,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
230,244152-0,bamb,1,25.99608612,lm,8.378613472,27.87173462,4,528.4119175,1471.092081,1547.632766,383.203426,27.84525,island,40800,1577.649405,220704,294311
231,244748-0,bamb,1,32.22827148,lm,14.65129662,71.44290161,3,797.5839733,1067.857519,939.2911574,42.213639,32.22827,mainland,,529.4318185,41981,68358
232,244750-0,bamb,1,27.3043232,lm,18.51174736,68.19975662,4,845.0272423,1374.926751,1243.418611,189.082718,27.30432,mainland,,421.3236095,42053,57969
233,244751-0,bamb,1,30.58302879,lm,17.38822365,78.36029053,4,766.922786,1146.817344,1018.238557,46.313487,30.58303,mainland,,524.3554283,11578,11928
239,244758-0,bamb,1,29.0002,lm,17.64974,273.4949,4,889.027176,1160.53584,1261.009755,50.31321,30.09597,mainland,,876.8690559,78064,186310
240,244759-0,bamb,1,34.77243423,lm,11.75378036,282.2754517,3,612.2112705,691.9121775,808.856251,134.574655,34.77243,mainland,,355.1982147,48646,100146
241,244760-0,bamb,2,42.42137527,mm,9.768348614,204.5382309,3,257.7329182,339.18597,413.9358317,537.553729,43.81666,mainland,,157.2626603,15885,18765
243,244763-0,bamb,1,59.13015747,mm,3.716331504,40.65713484,3,54.08998007,75.86270111,153.2398848,1091.593569,59.62481,mainland,,1219.330894,105266,242072
244,244764-0,bamb,1,60.4141922,mm,5.32117637,131.5062593,3,44.60338449,68.37678493,147.4341672,270.762849,61.08342,island,1160600,1432.406641,115106,253905
245,244765-0,bamb,1,62.06035614,mm,2.867413029,28.71084899,3,23.04245862,71.79845759,127.7670945,860.106645,62.81259,island,1023500,1251.451496,109129,244995
246,244766-0,bamb,2,64.10255432,mm,4.234520435,209.6754303,3,12.6063833,65.30757279,118.6482076,264.021253,64.79321,island,842500,480.444447,49219,180838
247,244767-0,bamb,1,57.68331,mm,4.484099,159.6505,3,35.52595841,95.70233015,143.4533665,68.843315,57.63681,mainland,,2867.044438,30569,30569
